TS_Machine,gsr
1555571131.348,2.530286
1555571131.598,2.531567
1555571131.848,2.525162
1555571132.098,2.523881
1555571132.348,2.5226
1555571132.598,2.516196
1555571132.848,2.513634
1555571133.098,2.50851
1555571133.348,2.507229
1555571133.598,2.499543
1555571133.848,2.496981
1555571134.098,2.498262
1555571134.348,2.4957
1555571134.598,2.488015
1555571134.848,2.486734
1555571135.098,2.485453
1555571135.348,2.48161
1555571135.598,2.476486
1555571135.848,2.473924
1555571136.098,2.466239
1555571136.348,2.463677
1555571136.598,2.462396
1555571136.848,2.462396
1555571137.098,2.463677
1555571137.348,2.452148
1555571137.598,2.460809
1555571137.848,2.460809
1555571138.098,2.454405
1555571138.348,2.450562
1555571138.598,2.448
1555571138.848,2.449281
1555571139.098,2.444157
1555571139.348,2.441595
1555571139.598,2.440314
1555571139.848,2.436471
1555571140.098,2.430067
1555571140.348,2.430067
1555571140.598,2.426224
1555571140.848,2.423662
1555571141.098,2.418538
1555571141.348,2.415976
1555571141.598,2.413414
1555571141.848,2.409572
1555571142.098,2.40701
1555571142.348,2.405729
1555571142.598,2.399324
1555571142.848,2.395481
1555571143.098,2.396762
1555571143.348,2.395481
1555571143.598,2.386515
1555571143.848,2.383953
1555571144.098,2.381391
1555571144.348,2.38011
1555571144.598,2.374986
1555571144.848,2.373705
1555571145.098,2.369862
1555571145.348,2.364738
1555571145.598,2.364738
1555571145.848,2.360896
1555571146.098,2.358334
1555571146.348,2.350648
1555571146.598,2.348086
1555571146.848,2.341681
1555571147.098,2.342963
1555571147.348,2.337839
1555571147.598,2.33912
1555571147.848,2.335277
1555571148.098,2.330153
1555571148.348,2.327591
1555571148.598,2.327591
1555571148.848,2.321186
1555571149.098,2.314782
1555571149.348,2.314782
1555571149.598,2.313501
1555571149.848,2.31222
1555571150.098,2.310939
1555571150.348,2.310939
1555571150.598,2.308377
1555571150.848,2.307096
1555571151.098,2.305815
1555571151.348,2.305815
1555571151.598,2.295568
1555571151.848,2.293005
1555571152.098,2.290444
1555571152.348,2.284039
1555571152.598,2.281477
1555571152.848,2.280196
1555571153.098,2.277634
1555571153.348,2.269948
1555571153.598,2.266106
1555571153.848,2.266106
1555571154.098,2.266106
1555571154.348,2.254577
1555571154.598,2.257139
1555571154.848,2.248173
1555571155.098,2.249453
1555571155.348,2.243049
1555571155.598,2.246891
1555571155.848,2.24433
1555571156.098,2.236644
1555571156.348,2.232801
1555571156.598,2.232801
1555571156.848,2.234082
1555571157.098,2.225116
1555571157.348,2.221273
1555571157.598,2.221273
1555571157.848,2.212306
1555571158.098,2.212306
1555571158.348,2.212306
1555571158.598,2.211025
1555571158.848,2.200778
1555571159.098,2.200778
1555571159.348,2.200778
1555571159.598,2.195654
1555571159.848,2.191811
1555571160.098,2.193092
1555571160.348,2.185406
1555571160.598,2.179001
1555571160.848,2.180282
1555571161.098,2.181563
