TS_Machine,tmp
1555581785.03488,35.27
1555581785.28489,35.27
1555581785.5349,35.27
1555581785.78491,35.27
1555581786.03492,35.27
1555581786.28494,35.27
1555581786.53495,35.27
1555581786.78496,35.27
1555581787.03497,35.25
1555581787.28498,35.25
1555581787.53499,35.25
1555581787.78501,35.25
1555581788.03502,35.27
1555581788.28503,35.27
1555581788.53504,35.27
1555581788.78505,35.27
1555581789.03506,35.25
1555581789.28508,35.25
1555581789.53509,35.25
1555581789.7851,35.25
1555581790.03511,35.27
1555581790.28512,35.27
1555581790.53513,35.27
1555581790.78514,35.27
1555581791.03516,35.27
1555581791.28517,35.27
1555581791.53518,35.27
1555581791.78519,35.27
1555581792.0352,35.27
1555581792.28521,35.27
1555581792.53523,35.27
1555581792.78524,35.27
1555581793.03525,35.27
1555581793.28526,35.27
1555581793.53527,35.27
1555581793.78528,35.27
1555581794.0353,35.27
1555581794.28531,35.27
1555581794.53532,35.27
1555581794.78533,35.27
1555581795.03534,35.27
1555581795.28535,35.27
1555581795.53536,35.27
1555581795.78538,35.27
1555581796.03539,35.27
1555581796.2854,35.27
1555581796.53541,35.27
1555581796.78542,35.27
1555581797.03543,35.27
1555581797.28545,35.27
1555581797.53546,35.27
1555581797.78547,35.27
1555581798.03548,35.29
1555581798.28549,35.29
1555581798.5355,35.29
1555581798.78552,35.29
1555581799.03553,35.27
1555581799.28554,35.27
1555581799.53555,35.27
1555581799.78556,35.27
1555581800.03557,35.29
1555581800.28558,35.29
1555581800.5356,35.29
1555581800.78561,35.29
1555581801.03562,35.27
1555581801.28563,35.27
1555581801.53564,35.27
1555581801.78565,35.27
1555581802.03567,35.29
1555581802.28568,35.29
1555581802.53569,35.29
1555581802.7857,35.29
1555581803.03571,35.31
1555581803.28572,35.31
1555581803.53574,35.31
1555581803.78575,35.31
1555581804.03576,35.29
1555581804.28577,35.29
1555581804.53578,35.29
1555581804.78579,35.29
1555581805.0358,35.29
1555581805.28582,35.29
1555581805.53583,35.29
1555581805.78584,35.29
